hotel,market_segment,distribution_channel,customer_type,lead_time_band,deposit_type,bookings,cancellations,realized_revenue,lost_revenue_estimate,room_nights_realized,adr,average_lead_time,repeat_guest_rate,average_special_requests,cancellation_rate,revenue_per_booking,segment_risk_score
City Hotel,Offline TA/TO,TA/TO,Transient,1-3 months,No Deposit,1690,227,421784.5,70371.31999999999,5158,82.80134911242604,56.66153846153846,0.0035502958579881655,0.26568047337278106,0.13431952662721894,249.5766272189349,10.86
Resort Hotel,Direct,TA/TO,Transient-Party,6-12 months,No Deposit,3,0,1476.0,0.0,12,123.0,297.0,0.0,2.0,0.0,492.0,10.71
City Hotel,Direct,Direct,Transient-Party,1-4 weeks,No Deposit,91,15,18993.02,6349.54,185,104.35945054945054,19.087912087912088,0.0,0.5054945054945055,0.16483516483516483,208.7145054945055,10.65
City Hotel,Offline TA/TO,TA/TO,Group,6-12 months,No Deposit,11,0,1862.1399999999999,0.0,22,85.44909090909091,295.0,0.0,0.7272727272727273,0.0,169.28545454545454,10.64
Resort Hotel,Complementary,TA/TO,Transient,1-4 weeks,No Deposit,6,1,0.0,0.0,9,0.0,14.166666666666666,0.0,1.0,0.16666666666666666,0.0,10.51
Resort Hotel,Complementary,Corporate,Transient,1-4 weeks,No Deposit,6,1,4.0,0.0,13,0.3333333333333333,13.833333333333334,0.0,0.0,0.16666666666666666,0.6666666666666666,10.5
Resort Hotel,Offline TA/TO,TA/TO,Transient-Party,1-3 months,No Deposit,168,23,47558.45,3668.86,620,68.44642857142857,59.48809523809524,0.0,0.4880952380952381,0.13690476190476192,283.0860119047619,10.4
City Hotel,Groups,Direct,Transient-Party,1-4 weeks,No Deposit,25,4,2987.95,448.65,33,91.744,15.84,0.0,0.08,0.16,119.51799999999999,10.18
Resort Hotel,Groups,Direct,Transient,6-12 months,No Deposit,6,0,2593.2200000000003,0.0,32,85.59333333333332,282.0,0.0,0.0,0.0,432.2033333333334,10.17
Resort Hotel,Offline TA/TO,TA/TO,Transient,1-3 months,No Deposit,1061,130,444372.67,69839.20999999999,5492,78.18038642789821,56.194156456173424,0.002827521206409048,0.3685202639019793,0.12252591894439209,418.82438265786993,10.13
City Hotel,Online TA,TA/TO,Transient-Party,1-4 weeks,No Deposit,217,33,51718.68,9617.77,438,112.92585253456221,17.870967741935484,0.0,0.8433179723502304,0.15207373271889402,238.33493087557605,9.87
Resort Hotel,Groups,Corporate,Transient,6-12 months,No Deposit,6,0,2404.8,0.0,41,58.03333333333333,270.5,0.0,0.16666666666666666,0.0,400.8,9.76
Resort Hotel,Direct,TA/TO,Group,6-12 months,No Deposit,2,0,3137.2799999999997,0.0,23,139.11,269.5,1.0,0.5,0.0,1568.6399999999999,9.72
Resort Hotel,Direct,Direct,Group,1-3 months,No Deposit,8,1,3676.69,3039.96,35,118.30125,51.75,0.25,1.375,0.125,459.58625,9.4
City Hotel,Aviation,Corporate,Transient-Party,Same week,No Deposit,13,2,2755.0,475.0,29,95.0,2.6153846153846154,0.0,0.0,0.15384615384615385,211.92307692307693,9.33
