country,market_segment,customer_type,bookings,cancellation_rate,realized_revenue,adr,average_lead_time,repeat_guest_rate,average_special_requests,average_total_nights,persona_cluster,persona_label,customer_value_score
PRT,Offline TA/TO,Group,80,0.3,10197.54,65.7645,48.8125,0.4625,0.35,2.8,1,High-volume commercial demand,29.16
PRT,Complementary,Transient,630,0.13333333333333333,2253.0,2.0234603174603176,11.117460317460317,0.3333333333333333,0.9555555555555556,1.5063492063492063,1,High-volume commercial demand,28.79
AUT,Online TA,Transient-Party,60,0.35,16967.52,103.90633333333334,163.81666666666666,0.0,0.6166666666666667,4.9,2,Long-lead cancellation watchlist,27.95
HRV,Online TA,Transient,63,0.3968253968253968,16007.37,116.39603174603174,67.60317460317461,0.0,0.9206349206349206,4.095238095238095,0,Value-managed core guests,26.69
DZA,Online TA,Transient,51,0.39215686274509803,13825.36,125.80333333333334,46.13725490196079,0.0,0.9215686274509803,4.823529411764706,0,Value-managed core guests,25.98
KOR,Online TA,Transient,106,0.5188679245283019,11364.95,115.61245283018869,58.301886792452834,0.009433962264150943,0.6886792452830188,2.3207547169811322,0,Value-managed core guests,25.53
GRC,Online TA,Transient,66,0.48484848484848486,16488.56,113.22030303030303,99.62121212121212,0.0,0.8939393939393939,4.378787878787879,0,Value-managed core guests,25.17
COL,Online TA,Transient,48,0.4791666666666667,6402.34,125.85604166666667,70.125,0.0,0.8125,2.3541666666666665,0,Value-managed core guests,18.96
PRT,Groups,Transient,7848,0.9857288481141692,14858.89,87.72155326197758,221.52917940876657,0.00038226299694189603,0.003950050968399592,2.7003058103975537,4,Niche loyalty opportunity,18.93
UKR,Online TA,Transient,43,0.46511627906976744,8222.83,106.70767441860465,50.18604651162791,0.0,0.8837209302325582,4.534883720930233,0,Value-managed core guests,16.88
GBR,Groups,Transient,177,0.7401129943502824,11586.85,52.96062146892655,209.87005649717514,0.005649717514124294,0.03389830508474576,4.8474576271186445,2,Long-lead cancellation watchlist,16.85
ZAF,Online TA,Transient,56,0.5,8423.96,111.1105357142857,59.392857142857146,0.0,0.7857142857142857,2.875,0,Value-managed core guests,16.6
SVK,Online TA,Transient,48,0.5,8565.15,108.84583333333335,149.375,0.0,0.5,3.5833333333333335,0,Value-managed core guests,16.4
ESP,Groups,Transient,158,0.7721518987341772,6881.0,84.45696202531646,140.0506329113924,0.006329113924050633,0.012658227848101266,2.8797468354430378,3,Premium reliable guests,16.12
SAU,Online TA,Transient,40,0.775,2908.3,127.86100000000002,32.725,0.0,0.375,5.675,0,Value-managed core guests,14.61
ARE,Online TA,Transient,46,0.8913043478260869,1078.99,134.8095652173913,50.15217391304348,0.0,0.5434782608695652,4.434782608695652,0,Value-managed core guests,14.27
UNKNOWN,Offline TA/TO,Transient,42,0.4523809523809524,5284.67,58.42166666666667,94.9047619047619,0.0,0.14285714285714285,3.119047619047619,3,Premium reliable guests,10.39
PRT,Groups,Contract,708,0.9957627118644068,3360.0,62.01836158192091,312.861581920904,0.0014124293785310734,0.0,2.1610169491525424,2,Long-lead cancellation watchlist,9.47
POL,Groups,Transient,43,0.8604651162790697,911.01,92.24813953488372,138.25581395348837,0.0,0.046511627906976744,4.627906976744186,2,Long-lead cancellation watchlist,8.17
